2,153
6,153
11,150
12,147
14,145
17,143
17,141
17,141
17,141
18,141
18,142
18,141
18,143
18,142
18,142
18,141
18,143
18,141
19,141
20,140
20,140
20,140
21,139
21,139
21,139
21,140
21,138
21,137
22,137
23,136
23,135
23,138
23,136
24,135
24,135
24,136
24,137
24,137
24,137
24,135
24,136
24,135
24,134
24,134
24,136
24,133
24,134
25,133
25,134
25,135
25,137
25,134
25,136
25,136
25,136
25,135
25,136
26,136
26,136
26,134
26,135
26,135
26,134
26,134
26,133
26,134
26,133
26,133
26,136
26,135
26,136
26,134
26,137
26,135
26,136
26,136
26,136
26,135
26,135
26,135
26,135
27,135
27,134
27,135
27,134
27,134
27,133
26,135
26,134
26,134
29,132
29,133
29,132
29,132
30,131
30,132
30,133
30,133
30,133
30,132
30,131
30,131
30,129
30,131
31,130
32,128
32,127
32,128
32,129
