44,727
112,676
165,632
217,598
257,583
285,560
311,537
334,532
353,512
361,510
369,501
376,503
385,498
387,498
389,497
390,496
396,489
398,491
402,486
401,486
403,484
403,483
406,483
407,481
409,482
408,480
411,477
411,479
410,481
411,481
412,483
415,479
417,474
418,473
419,472
419,476
419,474
419,474
419,470
421,473
421,472
421,469
421,471
421,472
421,471
421,471
422,471
423,471
422,473
421,471
421,475
423,476
423,474
423,475
422,475
423,474
423,474
422,473
423,468
423,468
423,468
423,467
423,470
424,471
424,470
424,466
424,468
424,466
426,469
426,464
424,471
424,467
424,469
423,471
421,477
423,470
423,468
421,473
422,473
421,472
422,472
421,469
421,471
421,471
422,471
422,472
421,472
422,469
421,471
421,474
